Steps,Policy/Entropy,Environment/Episode Length,High Score,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.6926386,13.205091937765205,18.0,-0.5487346,-0.8021276513312725,-0.8021276513312725,0.12856433,0.06997761,0.00029996916,1.0
20000,0.6101159,19.316221765913756,None,-0.65291506,-0.7989754026725155,-0.7989754026725155,0.07220421,0.06446074,0.00029991328,1.0
30000,0.4073495,41.32340425531915,None,-0.59530544,-0.7404255219913544,-0.7404255219913544,0.04721132,0.0670722,0.00029985124,1.0
40000,0.25955012,76.80327868852459,None,-0.46092755,-0.6557376957574829,-0.6557376957574829,0.041207574,0.07312113,0.000299789,1.0
50000,0.19397874,108.89041095890411,40.0,-0.3125904,-0.5189188981579768,-0.5189188981579768,0.038863175,0.07167289,0.00029972667,1.0
60000,0.1296936,316.0,42.0,-0.13394183,0.6433333774407705,0.6433333774407705,0.037155572,0.06688213,0.0002996703,1.0
70000,0.101365276,297.1470588235294,54.0,0.036887694,0.570588278638966,0.570588278638966,0.03433707,0.06734486,0.00029961395,1.0
80000,0.081665695,492.38461538461536,56.0,0.133515,1.6461539153869336,1.6461539153869336,0.02990516,0.069114774,0.00029955152,1.0
90000,0.08252292,588.0,69.0,0.19298479,1.9578948001328267,1.9578948001328267,0.022237217,0.06374405,0.00029948907,1.0
100000,0.07190175,588.2307692307693,102.0,0.23776715,1.7615385382221296,1.7615385382221296,0.019062813,0.071708284,0.00029942684,1.0
110000,0.062243693,737.2307692307693,139.0,0.27831808,2.4461539232960114,2.4461539232960114,0.016422758,0.066041276,0.00029937032,1.0
120000,0.04496315,278.25,177.0,0.2743965,0.550000011920929,0.550000011920929,0.016132921,0.07260865,0.00029931412,1.0
130000,0.049737256,986.7,214.0,0.30306435,3.8200001090765,3.8200001090765,0.0152208535,0.06383404,0.00029925155,1.0
140000,0.044688497,807.6,245.0,0.30695513,2.553333415587743,2.553333415587743,0.01869549,0.06830136,0.00029918886,1.0
150000,0.041389134,927.5555555555555,287.0,0.32011354,3.3777778719862304,3.3777778719862304,0.0149518475,0.070742056,0.00029912643,1.0
160000,0.04153438,1488.6,323.0,0.3419149,5.488889031940037,5.488889031940037,0.0136884805,0.0777431,0.00029907038,1.0
170000,0.046287466,1378.888888888889,None,0.33436462,6.25000016912818,6.25000016912818,0.018226694,0.0677643,0.00029901386,1.0
180000,0.06387799,575.8,None,0.31700367,1.6900000527501107,1.6900000527501107,0.017241467,0.07566379,0.00029895117,1.0
190000,0.05208607,1545.6666666666667,None,0.35164368,7.000000171363354,7.000000171363354,0.008899037,0.069619924,0.00029888743,1.0
200000,0.047489427,1433.3333333333333,None,0.38295257,5.58333349476258,5.58333349476258,0.013346108,0.064477205,0.0002988306,1.0
210000,0.021240534,1207.5555555555557,None,0.39314276,4.8333334806892605,4.8333334806892605,0.012482645,0.07509309,0.00029877416,1.0
220000,0.018028637,469.8333333333333,None,0.39089638,1.3166667235394318,1.3166667235394318,0.012553367,0.06174167,0.00029871188,1.0
230000,0.013959429,1728.25,None,0.40506604,6.850000215694308,6.850000215694308,0.010812065,0.07025539,0.0002986491,1.0
240000,0.013603755,1447.6666666666667,None,0.42852613,6.000000161429246,6.000000161429246,0.007501322,0.06821222,0.00029858583,1.0
250000,0.010631806,2064.5,351.0,0.4131649,9.116666926691929,9.116666926691929,0.014435117,0.066881806,0.00029852914,1.0
260000,0.0062943613,1831.142857142857,386.0,0.41051215,8.616666855911413,8.616666855911413,0.009300161,0.06907926,0.00029847288,1.0
270000,0.006876476,2203.0,424.0,0.43534893,9.600000213831663,9.600000213831663,0.008988036,0.062740415,0.00029840978,1.0
280000,0.0043223733,373.3333333333333,464.0,0.43281046,0.5666666900118192,0.5666666900118192,0.008035157,0.06623116,0.00029834625,1.0
290000,0.0062423116,2959.1428571428573,501.0,0.4266869,13.614286112998213,13.614286112998213,0.011699816,0.0689303,0.00029828952,1.0
300000,0.008381554,627.5,539.0,0.41556975,1.9000000730156898,1.9000000730156898,0.009171886,0.06311311,0.000298233,1.0
310000,0.007899696,2370.625,581.0,0.41587603,9.98750021122396,9.98750021122396,0.013153905,0.06552508,0.0002981705,1.0
320000,0.008112892,390.25,619.0,0.39124513,0.925000037997961,0.925000037997961,0.008319143,0.069996044,0.00029810824,1.0
330000,0.0136073455,3105.6666666666665,656.0,0.41117314,13.30000031987826,13.30000031987826,0.008040868,0.07802214,0.0002980516,1.0
340000,0.012875848,982.0,694.0,0.4177603,3.050000110641122,3.050000110641122,0.007305746,0.06650362,0.00029799517,1.0
350000,0.008295367,2374.0,730.0,0.41305763,10.600000304169953,10.600000304169953,0.01546285,0.06766994,0.00029793245,1.0
360000,0.0056127217,1418.7777777777778,763.0,0.3726624,5.666666803260644,5.666666803260644,0.014109284,0.061158724,0.0002978703,1.0
370000,0.005787185,304.0,798.0,0.34826064,0.5750000327825546,0.5750000327825546,0.009099075,0.07671056,0.00029780762,1.0
380000,0.0054792636,1819.8,834.0,0.38275716,7.600000236928463,7.600000236928463,0.009032199,0.07142055,0.00029775035,1.0
390000,0.0037679486,1667.3333333333333,873.0,0.41689107,7.166666850447655,7.166666850447655,0.0074987323,0.06673562,0.00029769278,1.0
400000,0.002880483,2540.2,912.0,0.4050068,11.020000314712524,11.020000314712524,0.009696979,0.06845733,0.00029763003,1.0
410000,0.0038163292,2388.0,948.0,0.41778526,11.000000234693289,11.000000234693289,0.007184206,0.07158469,0.0002975672,1.0
420000,0.0040046824,2040.75,983.0,0.4384942,8.47500023432076,8.47500023432076,0.009959765,0.07075744,0.0002975107,1.0
430000,0.0044417875,1969.3333333333333,1027.0,0.41786548,8.600000220868322,8.600000220868322,0.010327364,0.06006197,0.00029745442,1.0
440000,0.004709357,1032.3333333333333,1055.0,0.40846708,3.4666667381922402,3.4666667381922402,0.010562593,0.06421161,0.00029739147,1.0
450000,0.0049874843,2267.0,1093.0,0.39138284,9.850000263502201,9.850000263502201,0.011625836,0.068969235,0.00029732834,1.0
