Steps,Policy/Entropy,Environment/Episode Length,High Score,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.6708531,17.368807339449543,23.0,-0.22365963,-0.6661764596013681,-0.6661764596013681,0.21132429,0.06854421,0.00029996893,1.0
20000,0.5310616,30.28706624605678,None,-0.52402604,-0.6294303688491825,-0.6294303688491825,0.10893364,0.06373083,0.0002999129,1.0
30000,0.3807117,56.72941176470588,26.0,-0.3738262,-0.48546510289401507,-0.48546510289401507,0.08928816,0.06747968,0.0002998507,1.0
40000,0.23369119,90.96078431372548,35.0,-0.31077552,-0.38613859741109435,-0.38613859741109435,0.06471731,0.06992914,0.00029978773,1.0
50000,0.14682332,178.625,None,-0.1647265,0.07551022953524882,0.07551022953524882,0.049900312,0.06504135,0.0002997253,1.0
60000,0.08941074,285.70588235294116,43.0,0.03368078,0.6411765029325205,0.6411765029325205,0.048751585,0.061788086,0.000299669,1.0
70000,0.053626385,449.88235294117646,None,0.16037257,1.2470588443033837,1.2470588443033837,0.033574965,0.06650969,0.0002996126,1.0
80000,0.03923544,572.5,56.0,0.28657812,1.950000035017729,1.950000035017729,0.02288599,0.066884585,0.0002995495,1.0
90000,0.04407588,950.2,78.0,0.36623293,4.210000057518482,4.210000057518482,0.03141547,0.067187496,0.00029948633,1.0
100000,0.04111226,1034.5,88.0,0.39194822,5.387500084936619,5.387500084936619,0.02383201,0.06780335,0.00029942946,1.0
110000,0.03641214,1192.1666666666667,None,0.41837287,4.600000087171793,4.600000087171793,0.025088396,0.06867302,0.00029937274,1.0
120000,0.030484717,1285.0,93.0,0.49015075,6.283333417028189,6.283333417028189,0.027869735,0.06918643,0.0002993095,1.0
130000,0.028428752,2645.0,117.0,0.5108216,15.900000184774399,15.900000184774399,0.017891068,0.06516041,0.000299246,1.0
140000,0.026252214,1403.0,140.0,0.5162586,4.700000062584877,4.700000062584877,0.016963858,0.061401643,0.00029918892,1.0
150000,0.024481034,2346.25,162.0,0.5469743,13.325000111013651,13.325000111013651,0.024329662,0.06621753,0.00029913124,1.0
160000,0.02289007,2413.25,187.0,0.5552132,11.425000179558992,11.425000179558992,0.021363448,0.06923872,0.00029906858,1.0
170000,0.020784836,None,213.0,0.6115224,None,None,0.01796207,0.07418029,0.00029901142,1.0
180000,0.021203393,3835.3333333333335,229.0,0.603994,22.56666700045268,22.56666700045268,0.023802456,0.075029716,0.00029895295,1.0
190000,0.020793129,None,255.0,0.5942683,None,None,0.015867554,0.06720589,0.00029888918,1.0
200000,0.020610599,None,279.0,0.6326487,None,None,0.013098639,0.06340827,0.00029882556,1.0
210000,0.015606552,2205.0,305.0,0.66069454,8.400000110268593,8.400000110268593,0.019749345,0.061099593,0.00029876857,1.0
220000,0.019421881,9111.0,333.0,0.69334245,57.80000064522028,57.80000064522028,0.01940476,0.074870035,0.00029871074,1.0
230000,0.018653631,None,355.0,0.6696448,None,None,0.014629038,0.06574975,0.0002986469,1.0
240000,0.024193412,12377.0,362.0,0.6166667,76.10000068694353,76.10000068694353,0.02239241,0.07434301,0.00029858918,1.0
250000,0.022065908,None,None,0.6520158,None,None,0.020236304,0.06720382,0.00029853164,1.0
260000,0.021281676,8134.0,368.0,0.6986199,50.10000056773424,50.10000056773424,0.021695876,0.05848018,0.00029846776,1.0
270000,0.015618825,None,397.0,0.71023655,None,None,0.019092303,0.0670552,0.00029841068,1.0
280000,0.01813484,None,422.0,0.7062955,None,None,0.01717314,0.06857767,0.00029835367,1.0
290000,0.020618094,13872.0,451.0,0.6774697,84.40000086277723,84.40000086277723,0.018157471,0.06469742,0.00029829037,1.0
300000,0.017154718,None,479.0,0.7216397,None,None,0.021912903,0.066549875,0.00029822654,1.0
310000,0.017180473,None,506.0,0.6818829,None,None,0.016054062,0.07033208,0.00029816866,1.0
320000,0.017156383,None,532.0,0.6496439,None,None,0.016463613,0.06395892,0.00029811147,1.0
330000,0.017244032,None,560.0,0.6282804,None,None,0.016298046,0.07591183,0.00029804755,1.0
340000,0.016919032,None,587.0,0.62215346,None,None,0.01562989,0.072185725,0.00029798909,1.0
