Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,High Score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.66544956,14.699059561128527,-0.55596626,-0.8475667107704109,-0.8475667107704109,13.0,0.09712638,0.06972875,0.00029996908,1.0
20000,0.47873062,27.471098265895954,-0.6750748,-0.8354466800988579,-0.8354466800988579,None,0.03962531,0.07210192,0.0002999134,1.0
30000,0.3113097,47.77272727272727,-0.6126307,-0.7954545369127182,-0.7954545369127182,None,0.02925552,0.061910737,0.00029985158,1.0
40000,0.20807235,84.09401709401709,-0.47519854,-0.6629310222663756,-0.6629310222663756,None,0.029280815,0.06526272,0.000299789,1.0
50000,0.14465597,85.8348623853211,-0.4581292,-0.7663636259057305,-0.7663636259057305,None,0.026618635,0.07033104,0.00029972693,1.0
60000,0.14114997,94.44144144144144,-0.43623197,-0.7351351207172548,-0.7351351207172548,None,0.027364995,0.06271843,0.00029967082,1.0
70000,0.14624177,90.94,-0.45756367,-0.7139999900758266,-0.7139999900758266,None,0.025012877,0.06870804,0.0002996142,1.0
80000,0.14107707,105.02061855670104,-0.38307926,-0.6608247273822421,-0.6608247273822421,22.0,0.029802347,0.06038794,0.00029955138,1.0
90000,0.13869278,104.31,-0.35090017,-0.606999983638525,-0.606999983638525,None,0.033690147,0.072459884,0.00029948849,1.0
100000,0.12872215,110.17441860465117,-0.3585788,-0.674418589143559,-0.674418589143559,None,0.028742041,0.074655645,0.00029942582,1.0
110000,0.14286311,100.92156862745098,-0.3690187,-0.6544554313958282,-0.6544554313958282,None,0.031146018,0.07024816,0.00029936965,1.0
120000,0.13033782,103.54255319148936,-0.38070133,-0.7010526157523457,-0.7010526157523457,None,0.026279861,0.06960431,0.00029931305,1.0
130000,0.13804688,98.8061224489796,-0.400236,-0.6112244716864459,-0.6112244716864459,None,0.028772455,0.06846303,0.0002992508,1.0
140000,0.15363947,101.91,-0.36248076,-0.6249999874830245,-0.6249999874830245,None,0.030152148,0.06942197,0.0002991884,1.0
150000,0.13344789,112.9090909090909,-0.3422621,-0.6241379110463734,-0.6241379110463734,None,0.030624455,0.06886599,0.00029912574,1.0
160000,0.13841484,97.73,-0.34495264,-0.6239999840408563,-0.6239999840408563,None,0.033380084,0.063482955,0.00029906895,1.0
170000,0.13504115,105.94623655913979,-0.317039,-0.5861701952650192,-0.5861701952650192,None,0.033710107,0.06817722,0.0002990127,1.0
180000,0.12270342,105.68478260869566,-0.3249701,-0.6260869407459445,-0.6260869407459445,None,0.03175593,0.056911968,0.0002989504,1.0
190000,0.1312665,105.13,-0.36399797,-0.6769999865442514,-0.6769999865442514,None,0.030111674,0.06980054,0.0002988881,1.0
200000,0.1373853,93.89423076923077,-0.3890613,-0.6894230648445395,-0.6894230648445395,None,0.030099958,0.07148766,0.00029882538,1.0
210000,0.1389801,105.88172043010752,-0.40846244,-0.6978494484097727,-0.6978494484097727,None,0.025149707,0.06940652,0.00029876892,1.0
220000,0.13540031,92.40776699029126,-0.40493754,-0.6689320273191026,-0.6689320273191026,None,0.027212178,0.06448452,0.0002987128,1.0
230000,0.14808594,100.76842105263158,-0.40738624,-0.6442105126224066,-0.6442105126224066,None,0.027004873,0.072421506,0.0002986504,1.0
240000,0.13339302,114.65957446808511,-0.33653036,-0.6095744517255337,-0.6095744517255337,None,0.029006887,0.07150137,0.00029858813,1.0
250000,0.12993963,109.13793103448276,-0.34908876,-0.6264367656803679,-0.6264367656803679,None,0.03234234,0.068716496,0.00029852585,1.0
260000,0.14172319,101.43434343434343,-0.33643118,-0.6282828146911631,-0.6282828146911631,None,0.031820927,0.06909117,0.00029846941,1.0
270000,0.13884392,99.25510204081633,-0.37539953,-0.6081632481393765,-0.6081632481393765,None,0.030474043,0.067183755,0.00029841304,1.0
280000,0.13363753,107.58947368421053,-0.32375756,-0.5936170059474225,-0.5936170059474225,None,0.03092524,0.062235124,0.00029835053,1.0
290000,0.13244775,94.83168316831683,-0.34468094,-0.652941159977048,-0.652941159977048,None,0.037083406,0.06438451,0.00029828743,1.0
300000,0.12638932,100.56862745098039,-0.36036217,-0.634313710472163,-0.634313710472163,None,0.030462122,0.0717565,0.00029823056,1.0
310000,0.12956549,118.18072289156626,-0.3290424,-0.5390243722898204,-0.5390243722898204,None,0.03238345,0.06891837,0.0002981744,1.0
