Steps,Policy/Entropy,High Score,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.6589237,23.0,21.67420814479638,-0.2713904,-0.6371881960470931,-0.6371881960470931,0.17491996,0.07035052,0.00029996887,1.0
20000,0.48474586,None,40.10699588477366,-0.44549912,-0.597942374922611,-0.597942374922611,0.091683045,0.06562412,0.0002999129,1.0
30000,0.3151679,25.0,81.79338842975207,-0.36304983,-0.3603305599290477,-0.3603305599290477,0.07017741,0.07299224,0.0002998509,1.0
40000,0.2177598,None,118.37037037037037,-0.2546515,-0.43780486013104275,-0.43780486013104275,0.050808094,0.06681295,0.00029978855,1.0
50000,0.12255865,33.0,343.1034482758621,-0.07285961,0.5206896868245355,0.5206896868245355,0.0317264,0.07024078,0.0002997264,1.0
60000,0.07444637,43.0,433.95652173913044,0.06806854,0.9391304633539655,0.9391304633539655,0.030799124,0.06931899,0.0002996702,1.0
70000,0.052836534,None,630.5625,0.12805253,1.7250000359490514,1.7250000359490514,0.025674518,0.06386935,0.0002996138,1.0
80000,0.044152938,67.0,841.8333333333334,0.22000065,3.5833333811412253,3.5833333811412253,0.02914936,0.07095003,0.0002995513,1.0
90000,0.059043437,159.0,2000.2,0.30720156,9.160000109672547,9.160000109672547,0.020685337,0.06944885,0.00029948883,1.0
100000,0.050951604,None,900.6363636363636,0.3444187,3.127272779291326,3.127272779291326,0.027951922,0.070499405,0.00029942632,1.0
110000,0.045387425,None,1191.875,0.3296587,4.6500000692903996,4.6500000692903996,0.022366706,0.071367204,0.00029936974,1.0
120000,0.03355386,None,5283.0,0.3650384,23.100000277161598,23.100000277161598,0.01615305,0.064179316,0.00029931354,1.0
130000,0.030176869,193.0,4282.0,0.4179309,21.650000251829624,21.650000251829624,0.016399428,0.06288548,0.00029925056,1.0
140000,0.02874517,207.0,5501.333333333333,0.43853462,25.633333660662174,25.633333660662174,0.0122350175,0.067604296,0.00029918773,1.0
150000,0.026793512,278.0,None,0.46019098,None,None,0.014931485,0.0660932,0.00029913074,1.0
160000,0.02765639,563.0,None,0.51023084,None,None,0.014237876,0.0680411,0.00029907373,1.0
170000,0.02488501,613.0,21978.0,0.5240554,115.5000014230609,115.5000014230609,0.013260441,0.06806596,0.00029901054,1.0
180000,0.027840741,None,12725.0,0.55916095,63.4000009149313,63.4000009149313,0.016672552,0.06685526,0.00029894727,1.0
190000,0.028003756,None,None,0.5843063,None,None,0.014659089,0.06406069,0.00029889029,1.0
200000,0.023713276,772.0,None,0.5919661,None,None,0.016753305,0.06770736,0.00029883324,1.0
210000,0.025305346,1075.0,None,0.57839733,None,None,0.0142420065,0.07002342,0.00029876988,1.0
220000,0.021293962,1163.0,38346.0,0.6012888,219.0000029206276,219.0000029206276,0.018304888,0.07146864,0.00029870676,1.0
230000,0.019754378,None,None,0.6187969,None,None,0.015427928,0.06694234,0.00029864983,1.0
240000,0.019946737,None,19985.0,0.6416562,123.10000121593475,123.10000121593475,0.019183163,0.06876854,0.00029859296,1.0
250000,0.020299718,None,None,0.67251277,None,None,0.015024394,0.06855421,0.00029852972,1.0
260000,0.018720165,None,None,0.63930994,None,None,0.014860386,0.06890852,0.00029846636,1.0
270000,0.019855715,None,None,0.63519275,None,None,0.016584145,0.07040311,0.00029840934,1.0
280000,0.020518363,1299.0,41646.0,0.5940632,253.60000336170197,253.60000336170197,0.015995927,0.06646754,0.0002983524,1.0
290000,0.019376878,None,None,0.6129675,None,None,0.018852875,0.06593279,0.00029828906,1.0
300000,0.020854374,None,None,0.6405049,None,None,0.017162202,0.0711516,0.0002982257,1.0
310000,0.01658593,None,None,0.6505009,None,None,0.016515909,0.06475387,0.00029816866,1.0
320000,0.020118652,1388.0,43745.0,0.65341884,274.3000033274293,274.3000033274293,0.01956738,0.072663456,0.00029811167,1.0
330000,0.01781423,None,None,0.66723514,None,None,0.017129041,0.062562086,0.00029804846,1.0
340000,0.018288175,None,20408.0,0.6586452,136.6000016182661,136.6000016182661,0.018225148,0.067631714,0.00029799144,1.0
350000,0.01495769,None,9088.0,0.64681304,54.00000073760748,54.00000073760748,0.01703083,0.06689114,0.00029793454,1.0
360000,0.019353488,None,None,0.6198868,None,None,0.014643246,0.063205466,0.00029787148,1.0
370000,0.020200104,None,None,0.6021103,None,None,0.015971048,0.062363494,0.0002978081,1.0
380000,0.019722387,None,None,0.5810229,None,None,0.012429234,0.06417937,0.0002977511,1.0
390000,0.017091233,None,None,0.591451,None,None,0.015523198,0.06626095,0.00029769406,1.0
400000,0.01611719,1647.0,None,0.59243435,None,None,0.014596939,0.06330694,0.0002976307,1.0
410000,0.016934285,1980.0,None,0.63416994,None,None,0.018154528,0.068082616,0.00029756734,1.0
420000,0.014483438,2298.0,None,0.6583393,None,None,0.014093892,0.06621967,0.00029751033,1.0
430000,0.0144189885,2597.0,None,0.6066757,None,None,0.012575097,0.06489317,0.0002974533,1.0
440000,0.016879389,2903.0,None,0.56325024,None,None,0.0116793085,0.065539755,0.00029738992,1.0
450000,0.014990168,2989.0,95049.0,0.5835996,574.9000075533986,574.9000075533986,0.015137309,0.07128997,0.00029732686,1.0
460000,0.016436959,None,None,0.6021928,None,None,0.015250863,0.06951426,0.0002972699,1.0
470000,0.01600349,None,None,0.6383881,None,None,0.016702447,0.06684162,0.00029721286,1.0
480000,0.0147248525,None,None,0.6178501,None,None,0.014508816,0.06273673,0.0002971495,1.0
490000,0.01461518,None,None,0.63764274,None,None,0.013818027,0.064398594,0.00029708614,1.0
500000,0.017832123,None,None,0.62980354,None,None,0.016744591,0.06935106,0.0002970291,1.0
510000,0.01982481,None,None,0.66590077,None,None,0.017825115,0.068801954,0.00029697208,1.0
520000,0.01751783,None,74039.0,0.6586171,453.6000059917569,453.6000059917569,0.018399136,0.0686516,0.00029690872,1.0
530000,0.01719342,None,None,0.65086704,None,None,0.01571564,0.066998705,0.00029684542,1.0
540000,0.017084207,None,None,0.63208294,None,None,0.016018424,0.06120298,0.0002967884,1.0
550000,0.015612223,None,None,0.6163563,None,None,0.014099588,0.06703882,0.00029673136,1.0
560000,0.018533045,None,None,0.5970677,None,None,0.016073788,0.071953245,0.000296668,1.0
570000,0.018181628,None,None,0.6159062,None,None,0.017540328,0.06557006,0.000296611,1.0
580000,0.019577306,None,None,0.6346505,None,None,0.016010888,0.06876362,0.00029655395,1.0
590000,0.011568641,None,16462.75,0.6018801,100.80000120028853,100.80000120028853,0.022907116,0.069111034,0.0002964909,1.0
600000,0.014801734,None,8130.0,0.5752338,49.60000067949295,49.60000067949295,0.015609076,0.07251193,0.000296428,1.0
610000,0.012985788,None,None,0.6238202,None,None,0.02076273,0.073116586,0.00029637097,1.0
620000,0.01418432,None,None,0.6419118,None,None,0.015876364,0.06676137,0.00029631396,1.0
630000,0.018034367,None,None,0.6543072,None,None,0.015651526,0.07420702,0.0002962506,1.0
640000,0.0118585285,None,None,0.6363642,None,None,0.016978646,0.06406464,0.0002961872,1.0
650000,0.014626366,None,None,0.6441741,None,None,0.016846646,0.06632731,0.00029613022,1.0
660000,0.014799994,None,68843.0,0.6411592,442.2000050768256,442.2000050768256,0.013991049,0.067702614,0.00029607318,1.0
670000,0.011440847,None,None,0.6543668,None,None,0.021702189,0.06661247,0.00029600994,1.0
680000,0.012380685,None,None,0.6519854,None,None,0.013841997,0.06503016,0.00029594658,1.0
690000,0.012671993,None,None,0.6310828,None,None,0.015968481,0.06792417,0.00029588953,1.0
700000,0.0133572025,None,None,0.6484653,None,None,0.016557774,0.07162624,0.00029583252,1.0
710000,0.013391473,None,None,0.6444799,None,None,0.016209537,0.070152804,0.00029576916,1.0
720000,0.014284903,None,None,0.63956934,None,None,0.016133633,0.07363906,0.0002957058,1.0
730000,0.015458129,None,None,0.6406181,None,None,0.017253393,0.07060693,0.00029564876,1.0
740000,0.0120139485,None,None,0.63221544,None,None,0.016695993,0.066329524,0.00029559177,1.0
750000,0.012375651,None,None,0.6052468,None,None,0.01729662,0.06245277,0.0002955284,1.0
760000,0.013431335,3224.0,None,0.6448558,None,None,0.017194487,0.05658596,0.00029547137,1.0
770000,0.011883927,3545.0,None,0.67214626,None,None,0.018578889,0.0666154,0.00029541436,1.0
780000,0.013160672,3859.0,None,0.65461594,None,None,0.014759528,0.06971671,0.000295351,1.0
790000,0.011810189,4002.0,124902.0,0.62855065,783.600010715425,783.600010715425,0.017474568,0.070422396,0.00029528773,1.0
800000,0.011120485,None,None,0.62347436,None,None,0.016640343,0.072307,0.00029523077,1.0
