Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,High Score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.6513901,24.91269841269841,-0.13339901,-0.7526454940714218,-0.7526454940714218,17.0,0.20950666,0.06875866,0.000299969,1.0
20000,0.4606053,50.481675392670155,-0.50272536,-0.7612565340405983,-0.7612565340405983,None,0.05692631,0.06877615,0.00029991323,1.0
30000,0.30403852,86.13207547169812,-0.44933963,-0.6962264036091993,-0.6962264036091993,None,0.041452605,0.06288703,0.00029985083,1.0
40000,0.18181999,172.43396226415095,-0.34569824,-0.6113207411934745,-0.6113207411934745,None,0.025503788,0.06906119,0.0002997878,1.0
50000,0.10250357,272.0,-0.1954785,-0.5399999912828207,-0.5399999912828207,28.0,0.016307201,0.0643205,0.00029973066,1.0
60000,0.07145898,430.6470588235294,-0.082574844,-0.0882352805312942,-0.0882352805312942,31.0,0.016317373,0.06588665,0.0002996745,1.0
70000,0.07340427,905.75,-0.0034729242,1.1250000310440857,1.1250000310440857,42.0,0.014282791,0.07019594,0.000299612,1.0
80000,0.062251687,878.4,0.058872174,0.8300000205636024,0.8300000205636024,None,0.014533311,0.071256705,0.0002995496,1.0
90000,0.06222759,851.0769230769231,0.07626154,0.8000000319801844,0.8000000319801844,44.0,0.014503497,0.06987085,0.00029948645,1.0
100000,0.061677933,897.5,0.103838354,0.7750000283122063,0.7750000283122063,50.0,0.006255038,0.07359282,0.00029943007,1.0
110000,0.050489455,1999.0,0.12865807,2.850000038743019,2.850000038743019,58.0,0.00731453,0.06331285,0.00029937312,1.0
120000,0.05349336,1707.2857142857142,0.14865677,2.6000000504510745,2.6000000504510745,72.0,0.011326974,0.06865843,0.00029931002,1.0
130000,0.051967945,1439.1538461538462,0.1729443,1.8000000365651572,1.8000000365651572,78.0,0.018847518,0.07250645,0.00029924762,1.0
140000,0.051179785,1026.4285714285713,0.11779141,1.2857143112591334,1.2857143112591334,None,0.0131037235,0.063746735,0.0002991916,1.0
150000,0.040167358,1403.0,0.13264889,1.4333333745598793,1.4333333745598793,None,0.003733877,0.07320011,0.00029913464,1.0
160000,0.04403453,4043.0,0.14858095,8.100000079721212,8.100000079721212,80.0,0.006345503,0.07121313,0.00029907128,1.0
170000,0.036078494,2789.0,0.14315116,2.700000084936619,2.700000084936619,None,0.002311394,0.07464784,0.00029900757,1.0
180000,0.042212892,1856.5,0.14433293,1.550000037997961,1.550000037997961,None,0.0051263166,0.06196616,0.0002989507,1.0
190000,0.040845174,2957.1666666666665,0.15065315,3.733333402623733,3.733333402623733,89.0,0.0077198953,0.06654699,0.00029889366,1.0
200000,0.040890906,2990.5,0.13646561,4.100000083446503,4.100000083446503,102.0,0.0031304196,0.06278126,0.00029882998,1.0
210000,0.03845447,4722.5,0.13938025,8.650000151246786,8.650000151246786,113.0,0.0042859754,0.06774674,0.00029876592,1.0
220000,0.041248545,812.0,0.12908183,1.4901161193847656e-08,1.4901161193847656e-08,124.0,0.0039633773,0.06903402,0.00029870856,1.0
230000,0.045688055,2434.5,0.13467644,2.8000000528991222,2.8000000528991222,137.0,0.0061101927,0.067153774,0.00029865187,1.0
240000,0.037609234,5673.0,0.14556338,9.725000163540244,9.725000163540244,145.0,0.0071857846,0.06987409,0.00029858816,1.0
250000,0.03853203,2769.5,0.128215,3.150000050663948,3.150000050663948,None,0.005703832,0.06745212,0.0002985314,1.0
260000,0.043338634,3827.4,0.11843035,4.760000100731849,4.760000100731849,None,0.004988788,0.06799528,0.00029847474,1.0
270000,0.039026618,2117.5,0.12239816,2.700000051409006,2.700000051409006,None,0.0073409663,0.073244266,0.0002984121,1.0
280000,0.03993855,1796.0,0.1374492,2.816666729748249,2.816666729748249,None,0.008169365,0.06483389,0.00029834913,1.0
290000,0.036644116,1364.1666666666667,0.13427846,0.9000000283122063,0.9000000283122063,None,0.011536458,0.07210589,0.00029829144,1.0
300000,0.041457925,2567.5,0.1259992,3.9300000622868536,3.9300000622868536,None,0.014023289,0.06291995,0.00029823417,1.0
310000,0.03916801,1172.75,0.14733693,1.400000024586916,1.400000024586916,None,0.016188534,0.072983876,0.00029817136,1.0
320000,0.040254135,1670.6666666666667,0.15183102,3.133333387474219,3.133333387474219,None,0.008175552,0.06549214,0.00029810838,1.0
330000,0.03571401,1998.7142857142858,0.1546171,2.8142857732517377,2.8142857732517377,None,0.014054952,0.06947172,0.00029805137,1.0
340000,0.029559812,1742.6666666666667,0.14307544,2.300000054140886,2.300000054140886,None,0.0040542763,0.071849965,0.0002979946,1.0
350000,0.021917928,291.0,0.14430362,-0.4999999701976776,-0.4999999701976776,None,0.0030640028,0.07103364,0.00029793096,1.0
360000,0.025627676,3389.5,0.14239836,5.2000000812113285,5.2000000812113285,None,0.003738021,0.065691,0.00029786778,1.0
370000,0.024909979,958.0,0.14165042,0.1000000387430191,0.1000000387430191,None,0.0039707464,0.0703904,0.00029781106,1.0
380000,0.021605058,5777.0,0.17047806,8.900000147521496,8.900000147521496,None,0.005837624,0.06550746,0.00029775378,1.0
390000,0.01960279,3347.6666666666665,0.17105283,4.080000065267086,4.080000065267086,None,0.0095167635,0.073922105,0.00029769068,1.0
400000,0.01821332,3108.6,0.16306919,5.783333425720532,5.783333425720532,None,0.009843852,0.06482642,0.00029762724,1.0
410000,0.017748317,6665.0,0.16456158,10.80000014603138,10.80000014603138,None,0.0029314233,0.06666526,0.00029757,1.0
420000,0.02302573,2405.8333333333335,0.1517276,3.5666667309900126,3.5666667309900126,150.0,0.008431146,0.06912564,0.00029751254,1.0
430000,0.021045158,1893.5,0.14045085,2.6800000444054604,2.6800000444054604,166.0,0.011445211,0.0683838,0.00029744967,1.0
440000,0.016615402,1750.7142857142858,0.14835626,2.2571428918412755,2.2571428918412755,179.0,0.0113731045,0.06658125,0.00029738672,1.0
450000,0.018973464,2958.8888888888887,0.13149431,5.433333410157098,5.433333410157098,188.0,0.015435612,0.06147681,0.0002973304,1.0
460000,0.016407922,838.6666666666666,0.14730144,1.0166666954755783,1.0166666954755783,None,0.012038639,0.0698493,0.0002972736,1.0
470000,0.016068297,1337.0,0.14453766,2.200000038743019,2.200000038743019,None,0.015233239,0.06577824,0.00029721047,1.0
480000,0.014530183,1113.5,0.14218886,1.1500000189989805,1.1500000189989805,None,0.009046933,0.06754352,0.00029714755,1.0
490000,0.0145235,1188.4,0.1610742,1.3800000220537185,1.3800000220537185,None,0.013541057,0.06854604,0.0002970906,1.0
500000,0.015279656,1986.9,0.16543765,3.720000047236681,3.720000047236681,None,0.016837845,0.07166933,0.00029703433,1.0
510000,0.013577518,1025.0,0.15099056,0.9000000183780988,0.9000000183780988,None,0.0066498844,0.06663208,0.00029697112,1.0
520000,0.01397298,1350.2,0.14398165,1.720000034570694,1.720000034570694,None,0.009907204,0.063789,0.00029690802,1.0
530000,0.013107828,1908.75,0.16159587,3.3625000407919288,3.3625000407919288,None,0.018301543,0.06540173,0.00029685086,1.0
540000,0.012319327,1685.3333333333333,0.16226535,2.7666667103767395,2.7666667103767395,None,0.008221689,0.06849979,0.00029679434,1.0
550000,0.009657896,2959.0,0.16742831,4.6200000792741776,4.6200000792741776,None,0.012391546,0.06512598,0.0002967316,1.0
560000,0.010050993,825.25,0.18461531,1.0250000189989805,1.0250000189989805,None,0.013329299,0.072843365,0.0002966678,1.0
570000,0.010512191,2009.5,0.17418906,3.9666667208075523,3.9666667208075523,None,0.01276914,0.063829295,0.00029660526,1.0
580000,0.009048967,828.25,0.17970951,0.5500000193715096,0.5500000193715096,None,0.010910928,0.07172903,0.0002965482,1.0
590000,0.008427252,2400.6666666666665,0.18319209,4.900000058114529,4.900000058114529,None,0.009119203,0.069861375,0.00029649053,1.0
